Salary,NBA_DraftNumber,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1312611,62,25,6,80,8.9,0.577,0.688,0.188,4.2,11.2,7.7,3.5,0.6,1.1,5.5,10.3,0.1,0.1,0.2,0.098,-1.5,-1.3,-2.8,0
1645200,23,20,70,1389,9.5,0.575,0.565,0.183,3.3,9.9,6.6,5.2,1.8,0.6,10.8,12.3,1.1,1.5,2.6,0.09,0,0.3,0.3,0.8
1471382,46,24,66,1003,8.4,0.496,0.489,0.11,1.5,10.8,6.2,11.5,1.6,1.2,14.5,18.9,-0.6,1.1,0.5,0.026,-2.5,-0.5,-3,-0.3
3505233,9,22,54,875,12.8,0.509,0.282,0.248,8.6,30.1,19.2,5.7,1.1,1.6,10.7,14.5,0.5,1.2,1.7,0.091,-3.4,0.3,-3.1,-0.2
12250000,16,27,54,1619,19.7,0.536,0.25,0.115,6.6,27.6,17,19.3,1.6,2.9,11.1,25.9,1.3,2.2,3.5,0.104,0.6,2,2.6,1.9
12500000,23,26,51,1352,17.8,0.567,0.525,0.21,4.1,24,14.1,8.7,1.4,2.2,8,23.2,1.6,1.5,3.2,0.113,0.9,-0.8,0.1,0.7
1471382,41,22,71,2288,24.4,0.607,0.279,0.317,9.2,27.7,18.4,29.2,1.8,2.1,15.8,24.1,7.3,2.6,9.9,0.208,4.8,2.1,6.9,5.1
3807146,8,24,37,459,9.1,0.554,0.669,0.165,0.7,12.6,6.6,10.1,0.8,0.5,13.4,15.5,0.1,0.2,0.3,0.035,-2,-1.8,-3.9,-0.2
92160,62,23,6,60,2.4,0.362,0.611,0.167,1.8,8,4.7,11,0,1.6,9.4,15.7,-0.2,0,-0.2,-0.134,-6,-4.1,-10,-0.1
1312611,62,24,4,10,-4.6,0,1,0,0,33.5,16.8,0,0,0,0,8.7,0,0,0,-0.18,-13.8,-4.8,-18.6,0
22434783,25,29,61,1918,14.3,0.518,0.422,0.204,3,13.8,8.3,26,1.6,1,15,18.2,1.6,1.7,3.3,0.082,0.8,0.4,1.2,1.6
5192000,16,32,76,1307,10.1,0.562,0.669,0.123,1.8,7.5,4.8,3.5,1.3,0.4,7.3,18,0.7,0.9,1.6,0.059,-0.2,-3.4,-3.7,-0.5
2328652,12,37,13,72,13.8,0.666,0,0.421,8.9,20.7,14.6,8.6,0,0,23.7,17.6,0.1,0,0.1,0.08,-3.2,-2.8,-6,-0.1
4187599,6,23,30,472,16.2,0.558,0.01,0.267,11,29.1,19.8,6.3,3.3,4.1,18.1,13.8,0.4,1,1.3,0.137,-3.4,4.6,1.2,0.4
3477600,7,35,50,732,17,0.604,0.009,0.442,8.1,18.5,13.3,9.6,1.8,1.6,11.7,19,1.6,1,2.6,0.17,-1.2,0.6,-0.6,0.3
3949999,35,29,63,1286,12.9,0.598,0.49,0.13,4.2,19.1,11.6,8.6,1.7,1,12,14.3,1.7,1,2.7,0.1,0.8,-0.2,0.6,0.8
92160,62,24,1,1,134.1,1.5,1,0,0,0,0,0,0,0,0,45.1,0.1,0,0.1,2.713,68.7,-14.3,54.4,0
50000,38,26,5,19,-2.9,0.167,0,0,6.1,5.9,6,7.1,0,0,0,14.2,-0.1,0,-0.1,-0.141,-10.3,-2.2,-12.5,-0.1
2569920,11,21,61,1761,17.6,0.581,0.241,0.333,5.9,20.1,13.1,7.2,1.1,5.7,11.5,20.1,2.6,2.5,5,0.137,-0.6,1.9,1.4,1.5
1471382,32,24,72,1190,24.9,0.656,0.012,0.417,9.3,17.1,13.3,9.2,1.3,3.3,9.8,23.8,4.1,1.2,5.3,0.213,2.4,-0.1,2.3,1.3
10500000,62,32,10,159,13.5,0.623,0.789,0,2.2,14.8,8.5,9.5,1.3,0.5,10.9,18.2,0.2,0.1,0.3,0.09,1.6,-3.3,-1.7,0
